uuid,datetime,species,number_morbidity,disease_id,number_mortality,total_number_cases,location
f701b7c8-a2d0-4832-a3ed-c94db2ebb76a,30-05-21 18:01,buffalo,5,8,0,5,Village 1
0edf7ce3-06a2-4a3f-9380-306ee137732d,04-10-21 16:09,buffalo,2,1,5,7,Village 1
1f419dcd-61af-4b95-a6ac-d192ac062c22,10-06-21 11:12,sheep,3,1,4,7,Health Centre A
fdf67738-c2d2-49d7-ad40-08df7cb49d0f,16-02-22 15:03,buffalo,1,6,5,6,Village 1
c66d6803-b5c2-4466-a594-4462603bfbee,25-11-21 18:33,buffalo,4,4,4,8,Health Centre B
73bea095-007f-4028-a5b9-e5d18349e9aa,16-10-21 18:32,dog,2,4,2,4,Village 3
ad966d1f-dd4c-431a-834e-70b865e35a92,27-07-21 17:53,pig,2,3,2,4,Health Centre B
7138777e-e9c8-4595-9bba-dc69d67b9104,17-01-22 16:21,cat,4,8,2,6,Health Centre A
c4f97405-8cb8-4382-9790-71fb78686df0,27-09-21 10:48,cat,1,4,2,3,Village 2
ad6ea90b-6e94-45fa-9048-b7db4af725c6,02-10-21 13:54,buffalo,1,2,2,3,Village 3
c9f52fbc-5306-4cdd-8fe8-00464d2f704c,19-09-21 14:27,sheep,6,7,3,9,Village 3
bf5a9a32-9283-4ecc-bab5-2af80481e1b5,08-10-21 16:41,chicken,3,5,1,4,Village 2
9c657c79-0236-4409-b11e-53c1b99aca13,18-07-21 13:54,pig,1,3,0,1,Village 1
82393e39-99e9-4baa-bcf0-65135ca2e714,21-04-21 16:33,cat,5,2,4,9,Village 1
81380ecb-df6e-4e6d-a9ec-045d12dd095d,18-01-22 12:00,dog,1,2,5,6,Village 1
9224f6b0-24b3-4aa3-9d50-4670eb0efc78,04-10-21 17:16,dog,2,8,1,3,Health Centre B
51685474-f98c-4743-a174-52f4f4070d99,29-01-22 10:01,sheep,2,4,5,7,Village 2
eba84070-6367-4e33-b17c-d964d48e9dfc,10-07-21 16:49,cat,3,7,1,4,Health Centre A
a530f94f-f757-4f80-a012-1447ba170055,10-09-21 12:46,buffalo,4,3,4,8,Village 3
0856eb34-2c0f-43a3-9289-50910e6fcd43,12-05-21 9:55,dog,3,6,2,5,Village 2
9e5f0862-79d5-4299-b703-1a4f7ec09bf3,25-08-21 13:15,sheep,2,7,5,7,Health Centre A
961945fb-6a04-45b9-919d-b625a069b871,12-10-21 15:47,chicken,5,3,3,8,Village 3
78296bfd-916f-46a7-97c7-6ff6e6878232,03-02-22 9:43,sheep,4,8,4,8,Village 3
f4baadb1-1663-422a-856f-7e0b0f89706f,09-02-22 15:23,buffalo,1,9,0,1,Village 2
3272ca53-c879-4981-9619-25cce9c03b07,30-01-22 11:38,dog,3,3,3,6,Village 3
656ccdb4-c65c-41be-a6b1-fb293fbcc7ff,24-10-21 9:38,sheep,5,2,2,7,Village 2
fc015249-26c6-4a30-9a99-bb7d2e017a51,31-12-21 14:46,buffalo,3,0,4,7,Village 2
ed37769a-ce2d-4a52-8345-20843035638f,19-01-22 9:47,buffalo,1,5,1,2,Village 3
d59598c4-8631-4938-9c57-1f7524102041,03-04-21 18:15,buffalo,4,5,3,7,Health Centre A
e5725faa-7aee-4b88-a2f0-e905b993705e,19-04-21 12:40,buffalo,6,7,1,7,Village 2
cf4c1dcc-83f5-411b-a4e3-da3a6a8e2391,03-07-21 18:40,pig,3,3,0,3,Village 3
0f1fd0cf-700b-4f2d-8e90-5da73aafdc85,20-02-22 13:59,chicken,6,5,5,11,Health Centre B
43e2860f-381c-4dfd-a352-225a6eb17ce7,04-04-21 12:26,cat,5,5,5,10,Village 2
52276db0-846e-4932-836a-ae5be8334019,24-07-21 10:01,pig,3,2,1,4,Village 2
80425694-2a1c-4bbd-8651-9defaf71a657,26-09-21 16:09,buffalo,4,3,4,8,Village 1
286ddea2-6a3e-4f33-983c-60264e43a0e1,04-05-21 18:06,buffalo,3,8,1,4,Health Centre B
e0356fe6-2a29-424e-9fce-023056d72ef4,17-08-21 12:45,cat,1,4,5,6,Village 3
ee896803-c458-4f28-b9a3-28283af521e7,03-10-21 11:22,dog,1,2,2,3,Village 3
f871430a-2879-4866-8149-821efb9fe75d,24-04-21 14:02,buffalo,1,5,1,2,Village 1
823f54f0-9a01-4e66-addb-0b51754b1387,03-09-21 10:03,sheep,5,7,4,9,Village 3
d673f29e-a9b7-4837-bbee-4ffe4a43f079,25-04-21 10:37,chicken,1,5,1,2,Village 2
eab7ccb9-c906-4bd0-bd1c-eeba5e4ac1c2,01-05-21 18:06,sheep,5,3,1,6,Village 1
5d4001d1-2019-4db8-84ea-c61849843005,18-04-21 13:17,cat,6,0,4,10,Village 1
be62167c-991a-4506-9058-be5d53cb584f,27-12-21 18:39,dog,3,5,2,5,Health Centre A
3b2d08b6-d521-43ba-aead-7e0eb5778b25,10-02-22 15:39,cat,2,4,3,5,Health Centre A
544c51ee-87b5-4132-985f-ebc82efa3113,02-12-21 14:34,pig,1,1,4,5,Health Centre A
40114f62-27fd-4b24-b752-8ceaf4979280,15-05-21 17:29,pig,6,9,4,10,Village 2
07860325-eb28-4705-8297-02c0cae02869,14-10-21 14:10,cat,1,3,5,6,Village 3
7acef455-9c99-4a2f-b6fa-db155561f446,20-11-21 10:42,sheep,2,3,2,4,Village 1
92f7af30-945c-4722-8d5d-6b4a5714f027,04-11-21 14:20,pig,3,9,4,7,Village 1
b1733953-eb71-4650-bd45-62166828369a,22-05-21 9:15,dog,4,0,3,7,Village 3
7f6b8185-e397-47be-905f-665d96e610a6,01-02-22 16:55,cat,6,9,0,6,Health Centre B
d370a1ed-34b6-4467-9d59-9f80c99e773f,01-11-21 15:00,chicken,6,1,5,11,Health Centre A
13d25507-7d52-4398-bbc4-7ba4d15f0099,09-04-21 17:21,buffalo,2,1,5,7,Village 1
3b7e2d84-570d-460e-b7c6-8b64a8bcbf22,24-06-21 13:37,sheep,6,9,0,6,Village 3
a07a844e-b7da-4e6b-beb3-42dbda9c89cd,09-12-21 9:22,chicken,1,7,0,1,Health Centre B
b7172f6b-ed21-4257-b695-4699e055dfc4,16-08-21 16:30,sheep,4,5,5,9,Village 3
f4c249db-8ad3-4973-8e2f-3571bda86676,16-12-21 9:28,cat,4,2,4,8,Village 1
14e97cbc-1ac2-404f-b1b4-ded0ea51e5e6,17-04-21 16:29,cat,6,7,5,11,Health Centre A
2d72a1dd-de11-4403-8b49-8bb379a80ab5,06-05-21 16:49,pig,5,2,3,8,Village 3
04cb2a9e-5820-4087-9aab-509e316de59e,10-04-21 18:12,sheep,1,8,2,3,Village 3
b46a6d93-c8e1-438b-ac72-1fd560e00d41,30-01-22 11:12,dog,6,8,0,6,Health Centre A
6ec612a3-92b6-4f2e-8ec3-d87c802de2cb,13-01-22 15:35,dog,5,3,1,6,Village 1
aeda73cd-296a-4436-a817-432e86d53d62,11-05-21 12:20,dog,2,1,1,3,Village 2
cb7e6555-82a1-469a-b0f9-de33fc6a361a,07-06-21 17:38,pig,1,7,3,4,Village 3
a7cdbe64-8532-4712-b826-56b18c15b2cf,13-08-21 12:00,dog,3,2,1,4,Health Centre A
9cc78969-0c5c-42a0-9a21-31bf536ec16d,08-12-21 16:29,buffalo,4,2,1,5,Village 1
37c8fcfc-6b7b-4d3d-8623-6a366faeb60c,03-11-21 11:33,cat,5,1,3,8,Health Centre B
